city,latitude,longitude,max temperature,humidity,cloudiness,wind speed,country,date
rocha,-34.4833,-54.3333,71.19,76,93,7.43,UY,1658948126
bredasdorp,-34.5322,20.0403,51.01,91,0,6.96,ZA,1658948315
khanpur,28.6453,70.6567,90.54,64,100,8.93,PK,1658948291
rikitea,-23.1203,-134.9692,73.9,74,100,13.98,PF,1658948316
perez,-32.9983,-60.7679,66.09,82,100,11.5,AR,1658948316
hasaki,35.7333,140.8333,77.4,90,100,15.61,JP,1658948701
itatiaia,-22.4961,-44.5633,78.76,45,5,5.73,BR,1658948703
tazovskiy,67.4667,78.7,44.31,90,11,7.9,RU,1658948704
isangel,-19.55,169.2667,74.7,90,100,10.16,VU,1658948412
hobart,-42.8794,147.3294,46.26,78,75,8.05,AU,1658948560
yanam,16.7333,82.2167,78.85,88,91,1.57,IN,1658948708
santa maria,-29.6842,-53.8069,77.47,67,100,2.91,BR,1658948667
atar,20.5169,-13.0499,107.98,11,0,13.09,MR,1658948712
georgetown,5.4112,100.3354,80.53,84,20,3.44,MY,1658948467
saint-lo,49.1162,-1.0903,70.23,58,99,7.99,FR,1658948715
nishihara,26.1842,127.7558,81.68,89,0,6.91,JP,1658948716
luderitz,-26.6481,15.1594,57.74,72,0,7.0,NA,1658948718
cape town,-33.9258,18.4232,59.92,72,0,7.0,ZA,1658948719
busselton,-33.65,115.3333,52.2,74,7,7.61,AU,1658948722
lorengau,-2.0226,147.2712,81.7,77,53,9.93,PG,1658948653
mount gambier,-37.8333,140.7667,39.11,100,92,4.61,AU,1658948725
severo-kurilsk,50.6789,156.125,51.87,89,41,6.91,RU,1658948726
mataura,-46.1927,168.8643,47.48,99,100,1.79,NZ,1658948727
amahai,-3.3333,128.9167,76.87,90,92,8.59,ID,1658948729
hilo,19.7297,-155.09,88.29,95,28,1.99,US,1658948602
cabo san lucas,22.8909,-109.9124,91.18,70,16,4.0,MX,1658948013
palmer,42.1584,-72.3287,85.62,45,75,6.91,US,1658948735
souillac,-20.5167,57.5167,68.38,88,75,11.5,MU,1658948466
khalkhal,37.6189,48.5258,65.57,76,1,5.32,IR,1658948738
ossora,59.2353,163.0719,54.12,81,100,8.05,RU,1658948739
ardabil,38.2498,48.2933,66.18,82,0,1.39,IR,1658948741
minnedosa,50.2453,-99.8436,63.0,67,32,14.74,CA,1658948742
makakilo city,21.3469,-158.0858,81.01,57,40,14.97,US,1658948743
bluff,-46.6,168.3333,47.8,88,100,11.97,NZ,1658948644
tuatapere,-46.1333,167.6833,43.93,95,100,1.63,NZ,1658948747
ambulu,-8.345,113.6058,72.37,90,24,4.21,ID,1658948749
oudtshoorn,-33.5907,22.2014,53.1,77,0,2.66,ZA,1658948486
punta arenas,-53.15,-70.9167,41.11,65,69,24.81,CL,1658948527
east london,-33.0153,27.9116,65.26,73,100,5.03,ZA,1658948722
clyde river,70.4692,-68.5914,41.23,100,100,6.91,CA,1658948565
albany,42.6001,-73.9662,82.36,51,100,1.16,US,1658948631
moberly,39.4184,-92.4382,82.38,70,40,7.0,US,1658948756
tiksi,71.6872,128.8694,53.31,87,44,6.06,RU,1658948758
linhai,28.85,121.1167,75.78,92,90,1.72,CN,1658948759
iracoubo,5.4802,-53.2011,82.99,74,76,6.58,GF,1658948475
siegen,50.8667,8.0333,62.83,57,64,6.91,DE,1658948762
lubango,-14.9172,13.4925,59.13,47,47,3.74,AO,1658948632
ushuaia,-54.8,-68.3,42.46,61,40,4.61,AR,1658948766
baruun-urt,46.6806,113.2792,52.99,80,1,1.92,MN,1658948472
tungor,53.3808,142.9564,50.92,95,12,7.05,RU,1658948769
derzhavinsk,51.1,66.3167,66.99,77,15,15.46,KZ,1658948770
hermanus,-34.4187,19.2345,55.8,80,0,11.52,ZA,1658948773
yellowknife,62.456,-114.3525,66.56,59,100,3.0,CA,1658948646
bras-panon,-20.9967,55.6782,71.22,73,6,7.2,RE,1658948776
adrar,20.5022,-10.0711,108.36,8,4,19.46,MR,1658948540
ahuimanu,21.4447,-157.8378,82.2,66,75,14.97,US,1658948778
broken hill,-31.95,141.4333,41.63,71,55,3.27,AU,1658948780
asmara,15.3333,38.9333,62.47,73,100,2.84,ER,1658948781
butaritari,3.0707,172.7902,81.39,75,0,17.18,KI,1658948722
kudahuvadhoo,2.6708,72.8944,82.54,76,98,14.9,MV,1658948784
faanui,-16.4833,-151.75,78.28,76,17,21.0,PF,1658948785
ivolginsk,51.7492,107.2837,53.26,87,100,8.95,RU,1658948787
mar del plata,-38.0023,-57.5575,55.09,98,100,1.99,AR,1658948650
codrington,-38.2667,141.9667,45.63,76,72,6.11,AU,1658948789
port hedland,-20.3167,118.5667,59.05,63,3,8.05,AU,1658948565
san jose,37.3394,-121.895,84.54,55,20,3.44,US,1658948686
sitka,57.0531,-135.33,62.49,67,20,5.75,US,1658948793
boyle,37.6334,-84.8666,89.02,66,75,8.05,US,1658948795
boysun,38.2061,67.1986,85.5,24,0,7.45,UZ,1658948796
geraldton,-28.7667,114.6,57.61,67,75,10.36,AU,1658948562
esso,55.9333,158.7,54.18,93,100,4.5,RU,1658948799
adjumani,3.3779,31.7909,69.66,86,97,2.28,UG,1658948800
ocampo,21.65,-101.5,75.78,28,42,6.08,MX,1658948802
castro,-24.7911,-50.0119,71.01,50,90,4.54,BR,1658948803
puerto ayora,-0.7393,-90.3518,78.76,91,71,5.99,EC,1658948804
port alfred,-33.5906,26.891,64.06,70,99,4.97,ZA,1658948806
vestmanna,62.1564,-7.1664,50.92,100,100,9.22,FO,1658948807
jamestown,42.097,-79.2353,77.02,62,100,8.05,US,1658948725
buraydah,26.326,43.975,94.41,10,100,6.62,SA,1658948810
saint george,37.1041,-113.5841,96.64,41,0,5.01,US,1658948811
saint-pierre,-21.3393,55.4781,70.92,82,0,5.75,RE,1658948813
pryazha,61.6926,33.6216,67.23,90,100,3.94,RU,1658948814
new norfolk,-42.7826,147.0587,45.91,79,28,3.0,AU,1658948582
llata,-9.4167,-76.7833,63.93,43,7,9.98,PE,1658948818
ambon,-3.6954,128.1814,80.74,83,75,4.61,ID,1658948820
moose factory,51.2585,-80.6094,64.38,94,100,11.5,CA,1658948821
port macquarie,-31.4333,152.9167,42.89,72,100,7.16,AU,1658948729
nikolskoye,59.7035,30.7861,64.29,90,100,4.85,RU,1658948824
husavik,66.0449,-17.3389,60.3,68,100,17.09,IS,1658948825
fez,34.0372,-4.9998,89.85,22,0,9.22,MA,1658948827
esperance,-33.8667,121.9,53.89,79,12,13.44,AU,1658948828
gucheng,35.9115,111.3192,70.56,76,0,3.42,CN,1658948830
ankazobe,-18.3167,47.1167,54.79,73,0,3.87,MG,1658948831
inirida,3.8653,-67.9239,84.2,66,61,2.53,CO,1658948832
kodiak,57.79,-152.4072,60.31,55,0,9.22,US,1658948834
pocone,-16.2567,-56.6228,98.01,15,0,4.94,BR,1658948835
saskylakh,71.9167,114.0833,63.54,93,99,13.58,RU,1658948837
ilulissat,69.2167,-51.1,44.62,87,75,5.75,GL,1658948839
arraial do cabo,-22.9661,-42.0278,75.06,69,0,19.57,BR,1658948841
namibe,-15.1961,12.1522,64.08,89,30,1.63,AO,1658948842
muroto,33.2833,134.15,80.35,87,50,7.16,JP,1658948844
obera,-27.4871,-55.1199,81.9,41,97,3.8,AR,1658948845
tumbes,-3.5667,-80.4414,78.75,69,40,11.5,PE,1658948847
baghdad,33.3406,44.4009,93.11,16,0,8.05,IQ,1658948772
atuona,-9.8,-139.0333,77.25,67,0,20.89,PF,1658948849
igrim,63.1906,64.4162,56.19,58,0,3.49,RU,1658948851
chapais,49.7834,-74.8492,77.97,43,95,3.42,CA,1658948852
tasiilaq,65.6145,-37.6368,44.76,92,88,3.89,GL,1658948854
coquimbo,-29.9533,-71.3436,58.73,77,0,11.5,CL,1658948792
upernavik,72.7868,-56.1549,39.97,83,100,2.73,GL,1658948856
putai,46.6579,1.9863,74.59,36,0,7.02,FR,1658948858
ihosy,-22.4,46.1167,59.65,87,10,6.78,MG,1658948859
vaini,-21.2,-175.2,74.84,67,13,13.31,TO,1658948577
anahuac,27.2333,-100.15,97.03,33,100,18.3,MX,1658948862
quelimane,-17.8786,36.8883,63.09,75,0,4.09,MZ,1658948863
ust-tsilma,65.441,52.1498,61.97,60,23,5.64,RU,1658948865
lagoa,39.05,-27.9833,73.17,89,100,10.92,PT,1658948866
wuwei,37.9281,102.6414,69.55,24,2,7.02,CN,1658948867
ilhabela,-23.7781,-45.3581,71.69,77,14,4.54,BR,1658948869
shyryayeve,47.3805,30.1964,77.07,52,18,9.82,UA,1658948870
torbay,47.6666,-52.7314,68.27,96,100,9.55,CA,1658948872
